symbol,avg_daily_return,volatility,sharpe_ratio,max_drawdown,avg_volume,best_model,best_model_rmse
spke,0.0010734498778012535,0.46861202372938665,0.5772565694177093,-0.4797288545399594,186669.1738594328,RandomForestRegressor,0.4249072211038582
vvpr,-0.0020232794656403746,0.6446705271269169,-0.7908945793034472,-0.39441024721608,5259.604316546763,SVR,0.16513962697561135
rmp,0.0010297990186708555,0.43404260882589507,0.5978891183219089,-0.4790080098582872,303119.0084269663,RandomForestRegressor,0.4161392749679026
sov_c,0.00016328944131768438,0.14059363269100683,0.29267996298589555,-0.1805698438967661,3959.301470588235,RandomForestRegressor,0.1982455984876404
rexx,0.00023674229281420492,0.9350321152195796,0.06380428738019284,-0.9939888811674774,114386.25854037267,RandomForestRegressor,4.990493589226126
sgb,0.0004271653048822517,0.46109517153777757,0.23345648246830106,-0.7825152822725638,2256.829842931937,RandomForestRegressor,0.3806714713773758
bosc,0.0007730648189918705,1.0553449875739578,0.18459587782170528,-0.9778617710583153,29916.141592920354,RandomForestRegressor,0.7887552612304337
ifn,0.0005913866067882541,0.35885940416926043,0.4152863856407355,-0.7209133463565662,458416.8575919522,RandomForestRegressor,0.3832462937230439
arr_a,0.00016203000048162696,0.11920387933718715,0.3425354975727882,-0.19872813990461047,10510.713004484305,RandomForestRegressor,0.194491064034002
ffic,0.0004930747980293993,0.38755135425766596,0.32061518489959145,-0.7987195272100468,105865.07859163785,RandomForestRegressor,0.3272479012455304
rate,0.0003021619365149874,0.463873842420102,0.16414982057301944,-0.7159270998415214,597975.6098174953,RandomForestRegressor,0.511706779643707
kin,0.00011629810671413411,0.5906831572171654,0.049615640015933285,-0.8811320754716981,105620.12926577042,RandomForestRegressor,0.3951171982812228
cna,0.000604367591578708,0.3758163247538274,0.40525284040707005,-0.8747389601914292,398091.23105941527,RandomForestRegressor,0.41689056456040446
dltr,0.001101243815944872,0.42495406997591634,0.6530433786263901,-0.670625,3257082.218667604,RandomForestRegressor,0.652174092672177
utmd,0.0006006755267354315,0.26842274440538133,0.5639247637999116,-0.3898040033361134,7040.343538511118,RandomForestRegressor,0.7300312022330403
clpr,-0.0008152591861620263,0.32847626416202824,-0.6254494991805257,-0.26493313521545325,80767.59064327486,RandomForestRegressor,0.21138152478537175
bstc,0.002392628905411573,0.7654475470787895,0.7876992832033388,-0.64,22962.00034458994,RandomForestRegressor,0.8893038582882884
