symbol,avg_daily_return,volatility,sharpe_ratio,max_drawdown,avg_volume,best_model,best_model_rmse
trnc,0.0005582217224740925,0.6183097329393862,0.22751036668100064,-0.7428584363257731,210153.0012437811,RandomForestRegressor,0.39886129649233565
iff,0.000566138316242048,0.25721384262460634,0.5546624327727682,-0.676351108140073,354446.23894491856,RandomForestRegressor,0.7505907920027343
eff,0.00010675202454195272,0.0909289036007884,0.2958521341319554,-0.2398870501707382,34217.84055299539,RandomForestRegressor,0.08477410630950952
enzl,0.00044243364239094496,0.17832919304275413,0.625210465993573,-0.23200879450879452,52070.585011185685,RandomForestRegressor,0.37417681426091504
ocfc,0.00035776275526569343,0.3603594138906214,0.25018415185434706,-0.7084129082806914,60068.3131090852,RandomForestRegressor,0.29947962587117716
icui,0.0007317907754565888,0.3068932860688126,0.6008970667859808,-0.5307612095933264,119710.4501729016,RandomForestRegressor,1.3705739064382036
crop,0.0002417621366831912,0.16457250628073708,0.3701958475386921,-0.23364958394898516,9486.343550446998,RandomForestRegressor,0.2817842903917996
strl,0.0008621149154085347,0.5476035315552121,0.3967340350525957,-0.9251320285803044,113390.5259352405,RandomForestRegressor,0.516247020789522
fonr,0.0017116236314303945,1.1146257958635617,0.38697216296370124,-0.9821276595744681,66002.64685534591,RandomForestRegressor,0.5723512841088966
bjz,0.00014076319747083238,0.15511221496654473,0.2286881518022329,-0.40109090909090905,10668.384786053883,RandomForestRegressor,0.09353654295547714
acst,-0.001000224464474083,0.9518824375926819,-0.26479799930432796,-0.9722358722358723,41444.31092436975,RandomForestRegressor,0.6546606693268274
iyy,0.0003706175208902416,0.1872025202741305,0.4989014844863027,-0.5626781049631917,58657.820496699154,RandomForestRegressor,0.7208873517959662
csii,0.00018965512590984342,0.5842064935060796,0.08180855957703112,-0.9663461538461539,150736.74894514767,RandomForestRegressor,0.8766174516601911
hewg,0.0003670612357525096,0.18807238060402015,0.49182889647356964,-0.2991010427903631,717982.9746835442,RandomForestRegressor,0.28534107573419953
nugt,-0.0009548511582972914,1.1410164509338268,-0.2108843318551525,-0.9991712170291531,3516063.8343986054,RandomForestRegressor,289.08105780994777
aap,0.0004904855850735714,0.31901255860023076,0.3874529829825032,-0.6024639423076923,1227062.7022948759,RandomForestRegressor,1.841015908320628
nuro,-0.0024816785781263447,0.7105332245128001,-0.8801601109035441,-0.9954326923076923,15227.041529334212,XGBRegressor,4.596845712677908
nymt,-5.77501929982314e-05,0.5153996480236609,-0.02823643495170997,-0.9843446203570436,793405.9517919442,RandomForestRegressor,0.2885027034465342
bsco,0.00015835350473602722,0.05247051281889334,0.7605239790816382,-0.05599550401062692,33267.372214941024,RandomForestRegressor,0.060597673859020956
fone,0.0005532634258823352,0.20449489157928305,0.681789076712922,-0.28304230291517496,1992.4500339904826,RandomForestRegressor,0.42559415188192623
wtiu,0.0003642984272247851,0.7528828208791853,0.12193558029846116,-0.5969962453066333,29891.928205128206,RandomForestRegressor,0.801775115116786
ause,0.0002450452370479824,0.21938029597057232,0.2814810667607765,-0.3739067823399248,6211.895740623013,RandomForestRegressor,0.6657517147639995
lscc,0.0005335309403220233,0.4896945524502593,0.2745584901616945,-0.8533333333333333,1329991.0050298648,RandomForestRegressor,0.1639180017996325
stn,0.0007587745542703449,0.3494525156338539,0.5471735904642118,-0.6741770220187486,32596.527813712808,RandomForestRegressor,0.33555003818315565
svu,0.00018196297988466088,0.3841284840654851,0.11937326398090638,-0.9624682328147276,272913.6167076167,RandomForestRegressor,2.3646117017396406
sb,0.00035251500505792475,0.6984688250667868,0.12718360231196124,-0.9801414260459634,329186.5861193398,RandomForestRegressor,0.22046379452595916
star_d,8.387490544023494e-05,0.15492356199361068,0.1364316434436933,-0.27918983320095314,5657.9133126934985,XGBRegressor,0.29453828178195496
tcf-ws,0.00932478294970628,1.2767771233221845,1.8404506631601185,-0.38095238095238093,4574.884057971014,RandomForestRegressor,0.11888546503222558
intu,0.0011750141469234593,0.4861804343280084,0.6090404798662494,-0.75306031933767,4127513.809469942,RandomForestRegressor,0.9016490739672497
vcyt,-0.00018440921934648736,0.5185470850959709,-0.08961794330926401,-0.7554229934924078,90591.80541624875,RandomForestRegressor,0.3494405259124936
wsci,0.0007894168665154016,0.611673520494266,0.32522750077710133,-0.9340947992100066,25341.896430847675,RandomForestRegressor,0.17817281019979006
utes,0.0008115148277126686,0.15431429230202737,1.325228749280962,-0.12433015188508734,2655.712846347607,RandomForestRegressor,0.3189913777420751
amu,4.802004033277783e-05,0.23798748454442112,0.05084742244755024,-0.5830831903945112,139472.68844984804,RandomForestRegressor,0.320406792072928
