symbol,avg_daily_return,volatility,sharpe_ratio,max_drawdown,avg_volume,best_model,best_model_rmse
ocx,0.0021971726954478597,0.8173962347627183,0.6773795812915513,-0.5324675324675325,25647.734966592427,SVR,0.27950656669962826
ewmc,0.0008172205801118192,0.132283535263513,1.5568043731061485,-0.07944664803923485,9392.585648148148,RandomForestRegressor,0.5066197579178568
nxn,0.00013260051367946146,0.13327076329206333,0.25073263348837044,-0.2538405533309064,8381.614068441064,RandomForestRegressor,0.0984817214650487
dwdp,0.004448414444218735,3.1639867571331,0.3542999784736343,-0.9230556754423824,5135021.472384286,RandomForestRegressor,0.4719623569936168
abm,0.0004792477541204585,0.3178677232232266,0.3799392804457312,-0.6125732674405241,307233.3935869224,RandomForestRegressor,0.46694691100590474
arry,0.0009336179348902252,0.6570865333451839,0.35805287074532494,-0.8805555555555555,1196444.3171958504,RandomForestRegressor,0.20308749190100278
egov,0.0008200846209425948,0.38568703938248317,0.5358264690678115,-0.5811257292534826,275794.64885256207,RandomForestRegressor,0.29129869911938405
fsacw,-0.004357253472297688,0.26740226023949015,-4.106277463906268,-0.0265486725663715,15716.666666666666,ElasticNet,0.010000000000000009
nmt,0.00015588871199537842,0.15900915338920382,0.24705467946666407,-0.4735725113693785,11290.330567964264,RandomForestRegressor,0.10466354552604697
trup,0.0017060972994198556,0.3890123710891277,1.105200120628811,-0.4165757906215922,120659.72249388753,RandomForestRegressor,0.39384386809880045
llsp,0.0007759226891576654,0.19763030467431783,0.9893852969055371,-0.15529647158413185,6928.540415704388,RandomForestRegressor,0.35550111638766296
flks,-0.0012250463557770745,0.7171874917372922,-0.430447665655754,-0.8866363260239967,77869.10964912281,RandomForestRegressor,0.5634380881617979
ms_i,0.00017276520037508476,0.06943738792862328,0.6269940703886233,-0.09992636746143047,134079.46753246753,RandomForestRegressor,0.13227577638659216
cbnd,0.00017301368982955157,0.06872894503669343,0.6343680935851679,-0.09013112491373365,9808.424836601307,RandomForestRegressor,0.12254350606572029
vt,0.000338202817513058,0.2255949000079993,0.37778828337993714,-0.4970300323132484,387987.4812126388,RandomForestRegressor,0.5393055664099609
evbg,0.002500488847899556,0.3540726661683619,1.7796436999490493,-0.17907064601435585,216919.2169117647,RandomForestRegressor,0.48006008629602337
elc,0.0001629490267599681,0.10876961804824953,0.3775241237428691,-0.161699641038484,65162.89003436426,RandomForestRegressor,0.12801791142985147
fsacu,0.00034489091196893395,0.07640174811801356,1.137572267088999,-0.017391304347826098,43167.0,RandomForestRegressor,0.0431565272441815
sumr,0.0003635718095413893,0.6248955346307198,0.14661665978870012,-0.8665943600867679,68161.75563909774,RandomForestRegressor,0.14977411514451722
uve,0.0037438113762095727,1.1579468183908928,0.8147528468672137,-0.8184719074317071,278534.7427440633,RandomForestRegressor,0.39571731359112544
renn,-0.0005163114558332194,0.5506442293637527,-0.2362877515674844,-0.9024311183144247,440310.0092478422,RandomForestRegressor,0.9161130289518777
eufx,2.6868030041225466e-05,0.09792148166826158,0.06914461929126792,-0.14397076735688175,5630.443026435733,RandomForestRegressor,0.267680017156125
ksu_,0.0005616616114140847,0.4203977473090819,0.33667812680330145,-0.7705242916568558,672902.0935224224,RandomForestRegressor,0.6866261345637873
